index,objectid,site_id,name,active_flag,address_street,address_city,address_state,address_zip,city,county,cong_district,senate_district,house_district,huc8,watershed_name,site_url,activity,activity_list,mpca_id,mpca_id_list,program_code_list,program_name,program_name_list,industrial_classification,ic_flag,latitude,longitude,coord_collect_method_code,coord_collect_method_name,shape,geometry
88180,88160,127590,Minneapolis city of - West Broadway,Y,1001 W Broadway ,Minneapolis,MN,55411,Minneapolis,Hennepin,5.0,59.0,59B,7010206.0,Mississippi River - Twin Cities,https://webapp.pca.state.mn.us/wimn/site/127590,Hazardous Waste,Hazardous Waste,MNS000151993,MNS000151993,HW,Hazardous Waste,Hazardous Waste,Executive Offices ,N,44.9990136,-93.2926498,DM,Digitized - MPCA internal map,0101000020E6100000950B3AC6BA5257C02E217AADDF7F4640,POINT (476934.41159491264 4982882.296409854)
161209,161199,20169,Cylindrical Precision LLC dba Prestige,Y,1401 Broadway Ave W ,Minneapolis,MN,55411,Minneapolis,Hennepin,5.0,59.0,59B,7010206.0,Mississippi River - Twin Cities,https://webapp.pca.state.mn.us/wimn/site/20169,"Hazardous Waste, Very small quantity generator","Hazardous Waste, Very small quantity generator",MND022926729,MND022926729,HW,Hazardous Waste,Hazardous Waste,,N,44.9990307,-93.2979763,DM,Digitized - MPCA internal map,0101000020E6100000EBDE2F0B125357C09919EC3CE07F4640,POINT (476514.6021565676 4982885.72663586)
117348,117331,122264,1101 West Broadway,Y,1101 W Broadway Ave ,Minneapolis,MN,55411,Minneapolis,Hennepin,5.0,59.0,59B,7010206.0,Mississippi River - Twin Cities,https://webapp.pca.state.mn.us/wimn/site/122264,Multiple Activities,Hazardous Waste; Site Assessment,Multiple IDs,MNS000123265; SA0000388,HW; SR,Multiple Programs,Hazardous Waste; Investigation and Cleanup,,N,44.99911115,-93.29416583,A1,Address Matching House Number,0101000020E6100000D8DCEA9CD35257C0D328C9DFE27F4640,POINT (476814.96272628807 4982893.565808952)
113772,113752,19928,Williams John M DDS,N,1011 W Broadway Ave ,Minneapolis,MN,55411-2531,Minneapolis,Hennepin,5.0,59.0,59B,7010206.0,Mississippi River - Twin Cities,https://webapp.pca.state.mn.us/wimn/site/19928,Hazardous Waste,Hazardous Waste,MN0001006493,MN0001006493,HW,Hazardous Waste,Hazardous Waste,Offices of Dentists ,N,44.9991239,-93.2928138,A1,Address Matching House Number,0101000020E610000052B41776BD5257C07493BD4AE37F4640,POINT (476921.5300338896 4982894.596046559)
99811,99785,18562,Shiloh Cares Food Shelf,N,1201 W Broadway Ave ,Minneapolis,MN,55411-2532,Minneapolis,Hennepin,5.0,59.0,59A,7010206.0,Mississippi River - Twin Cities,https://webapp.pca.state.mn.us/wimn/site/18562,Multiple Activities,"Brownfields, Voluntary Investigation and Cleanup; Hazardous Waste",Multiple IDs,MND006962492; VP19100,HW; SR,Multiple Programs,Hazardous Waste; Investigation and Cleanup,Photofinishing Laboratories (except One-Hour) ,N,44.9991665,-93.2957026,A1,Address Matching House Number,0101000020E6100000E61599CAEC5257C0206118B0E47F4640,POINT (476693.86247552384 4982900.155530512)
92096,92074,103271,Ten-air Aircraft Corp,N,1681 94th Ln NE ,Blaine,MN,55449,Minneapolis,Hennepin,5.0,59.0,59A,7010206.0,Mississippi River - Twin Cities,https://webapp.pca.state.mn.us/wimn/site/103271,Underground Tanks,Underground Tanks,TS0019441,TS0019441,TL,Tanks,Tanks,,N,44.999191,-93.297866,A1,Address Matching House Number,0101000020E6100000C8258E3C105357C091BA9D7DE57F4640,POINT (476523.3611925938 4982903.501943316)
97975,97954,150316,Hennepin County Ped Ramp Replacements,Y,Address Unknown ,Minneapolis,MN,55411,Minneapolis,Hennepin,5.0,59.0,59A,7010206.0,Mississippi River - Twin Cities,https://webapp.pca.state.mn.us/wimn/site/150316,Construction Stormwater,Construction Stormwater,C00038147,C00038147,ST,Stormwater,Stormwater,,N,44.9992,-93.2972,DP,Digitized - MPCA online map,0101000020E6100000C2172653055357C0E4141DC9E57F4640,POINT (476575.8565367064 4982904.308906985)
10563,10525,138480,HealthPartners Well@Work - Mpls Public Schools,Y,1250 W Broadway Ave Ste N1-60 ,Minneapolis,MN,55411,Minneapolis,Hennepin,5.0,59.0,59A,7010206.0,Mississippi River - Twin Cities,https://webapp.pca.state.mn.us/wimn/site/138480,"Hazardous Waste, Very small quantity generator","Hazardous Waste, Very small quantity generator",MNS000181982,MNS000181982,HW,Hazardous Waste,Hazardous Waste,HMO Medical Centers ,N,44.9992169,-93.2964251,A1,Address Matching House Number,0101000020E6100000AA8DFBA0F85257C0258EE156E67F4640,POINT (476636.9381751955 4982905.962473916)
12299,12259,248977,Gateway Lofts,Y,2623 W Broadway Ave Unit 213 ,Minneapolis,MN,55411,Minneapolis,Hennepin,5.0,59.0,59A,7010206.0,Mississippi River - Twin Cities,https://webapp.pca.state.mn.us/wimn/site/248977,"Hazardous Waste, One time generator","Hazardous Waste, One time generator",MNP000001523,MNP000001523,HW,Hazardous Waste,Hazardous Waste,,N,44.99923108,-93.29748274,Z1,Zip Code Centroid,0101000020E61000002BDB0BF5095357C096DFD4CDE67F4640,POINT (476553.5847102787 4982907.84330487)
118741,118723,134637,Prestige Products,N,1403 W Broadway ,Minneapolis,MN,55411,Minneapolis,Hennepin,5.0,59.0,59B,7010206.0,Mississippi River - Twin Cities,https://webapp.pca.state.mn.us/wimn/site/134637,Industrial Stormwater,Industrial Stormwater,A00023205,A00023205,ST,Stormwater,Stormwater,Precision Turned Product Manufacturing ,N,44.9992472,-93.2981428,A1,Address Matching House Number,0101000020E61000006CE289C5145357C04E4F0E55E77F4640,POINT (476501.5678447145 4982909.825312418)
